# eventID	energy_keV
    3400	1063.655
    3400	569.697
    3401	1063.655
    3401	569.697
    3401	75.250
    3402	1063.655
    3402	569.697
    3403	1063.655
    3403	569.697
    3404	1063.655
    3404	569.697
    3404	75.250
    3404	12.627
    3405	1063.655
    3405	569.697
    3406	1063.655
    3406	569.697
    3406	73.039
    3407	569.697
    3407	87.656
    3408	1063.655
    3408	569.697
    3409	1063.655
    3409	569.697
    3409	84.741
    3409	3.114
    3410	569.697
    3411	1770.215
    3411	569.697
    3412	1063.655
    3412	569.697
    3412	87.656
    3413	1063.655
    3413	569.697
    3413	75.250
    3414	85.236
    3414	569.697
    3414	75.250
    3415	1063.655
    3415	569.697
    3415	73.039
    3416	1063.655
    3416	569.697
    3416	75.250
    3416	9.216
    3417	1063.655
    3417	569.697
    3417	73.039
    3417	12.656
    3418	1063.655
    3418	569.697
    3419	75.250
    3419	2.341
    3419	569.697
    3419	75.250
    3419	10.551
    3420	1063.655
    3420	569.697
    3420	75.250
    3420	10.551
    3421	1063.655
    3421	569.697
    3422	1063.655
    3422	569.697
    3422	75.250
    3423	9.216
    3423	569.697
    3424	569.697
    3424	75.250
    3425	1063.655
    3425	569.697
    3425	75.250
    3426	569.697
    3426	73.039
    3426	12.656
    3426	0.000
    3427	1063.655
    3427	569.697
    3427	15.213
    3428	1063.655
    3428	569.697
    3428	73.039
    3428	15.222
    3429	1063.655
    3429	569.697
    3429	75.250
    3429	10.551
    3430	1063.655
    3430	569.697
    3431	1063.655
    3431	569.697
    3431	75.250
    3432	1063.655
    3432	569.697
    3432	75.250
    3433	1063.655
    3433	569.697
    3433	73.039
    3434	1063.655
    3434	569.697
    3434	75.250
    3435	1063.655
    3435	569.697
    3435	73.039
    3435	10.551
    3436	1063.655
    3436	569.697
    3436	73.039
    3437	1063.655
    3437	569.697
    3438	73.039
    3438	14.816
    3438	569.697
    3438	75.250
    3439	1063.655
    3439	569.697
    3439	15.091
    3440	1063.655
    3440	569.697
    3440	85.235
    3440	2.442
    3441	1063.655
    3441	75.250
    3441	85.235
    3442	1063.655
    3442	569.697
    3442	73.039
    3442	12.656
    3443	1063.655
    3443	569.697
    3443	10.551
    3444	1063.655
    3444	569.697
    3444	75.250
    3444	9.216
    3445	1063.655
    3445	569.697
    3445	75.250
    3445	10.551
    3446	1063.655
    3446	569.697
    3446	75.250
    3446	12.627
    3447	736.310
    3447	569.697
    3447	14.816
    3448	1063.655
    3448	569.697
    3448	75.250
    3449	1063.655
    3449	569.697
    3449	75.250
    3449	9.216
    3449	2.341
    3450	569.697
    3450	73.039
    3451	1063.655
    3451	73.039
    3452	1770.215
    3452	569.697
    3453	1063.655
    3453	569.697
    3454	1063.655
    3454	569.697
    3455	1063.655
    3455	569.697
    3455	12.298
    3456	1063.655
    3456	569.697
    3456	12.792
    3456	2.642
    3457	1063.655
    3457	569.697
    3457	63.375
    3457	2.642
    3458	1063.655
    3458	569.697
    3459	75.251
    3459	569.697
    3459	73.039
    3460	1770.215
    3460	73.039
    3460	12.656
    3460	0.000
    3461	1063.655
    3461	569.697
    3461	75.250
    3461	10.551
    3462	1063.655
    3462	569.697
    3462	75.250
    3463	1063.655
    3463	569.697
    3464	1063.655
    3464	569.697
    3464	75.250
    3465	1063.655
    3465	569.697
    3465	73.039
    3465	10.551
    3466	1063.655
    3466	569.697
    3466	12.792
    3467	1063.655
    3467	569.697
    3467	75.250
    3468	569.697
    3468	12.792
    3468	10.551
    3469	685.328
    3469	569.697
    3469	10.551
    3470	1063.655
    3470	569.697
    3470	84.741
    5073	1063.655
    5073	569.697
    5073	87.656
    5074	1063.655
    5074	569.697
    5074	85.235
    5075	1063.655
    5075	569.697
    5075	12.656
    5076	1063.655
    5076	569.697
    5076	10.551
    5077	1063.655
